Country,Happiness Score,Dystopia Residual
Afghanistan,3.575,1.9521
Albania,4.959,1.89894
Algeria,5.605,2.43209
Angola,4.033,1.94939
Argentina,6.574,2.836
Armenia,4.35,1.75873
Australia,7.284,2.26646
Austria,7.2,2.5332
Azerbaijan,5.212,2.00073
Bahrain,5.96,1.73797
Bangladesh,4.694,2.51767
Belarus,5.813,2.1309
Belgium,6.937,2.41484
Benin,3.34,1.63328
Bhutan,5.253,1.63794
Bolivia,5.89,2.82334
Bosnia and Herzegovina,4.949,2.06367
Botswana,4.332,1.46181
Brazil,6.983,3.26001
Bulgaria,4.218,0.89991
Burkina Faso,3.587,1.46494
Burundi,2.905,1.83302
Cambodia,3.819,0.98195
Cameroon,4.252,1.95071
Canada,7.427,2.45176
Central African Republic,3.678,2.7223
Chad,3.667,1.94296
Chile,6.67,2.67585
China,5.14,1.8604
Colombia,6.477,2.85737
Comoros,3.956,1.95812
Congo (Brazzaville),3.989,1.68135
Congo (Kinshasa),4.517,2.86712
Costa Rica,7.226,3.17728
Croatia,5.759,2.75414
Cyprus,5.689,1.88931
Czech Republic,6.505,2.67782
Denmark,7.527,2.49204
Djibouti,4.369,2.05125
Dominican Republic,4.885,1.21305
Ecuador,5.975,2.53942
Egypt,4.194,1.59927
El Salvador,6.13,3.035
Estonia,5.429,1.58782
Ethiopia,4.512,2.44876
Finland,7.406,2.61955
France,6.575,2.21126
Gabon,3.896,0.99895
Georgia,4.297,1.59541
Germany,6.75,2.11569
Ghana,4.633,2.30919
Greece,4.857,1.80101
Guatemala,6.123,2.74255
Guinea,3.656,1.99172
Haiti,4.518,2.24173
Honduras,4.788,1.84408
Hong Kong,5.474,0.65429
Hungary,4.8,1.24074
Iceland,7.561,2.70201
India,4.565,2.27513
Indonesia,5.399,1.86399
Iran,4.686,1.6944
Iraq,4.677,1.95335
Ireland,6.94,1.9757
Israel,7.278,3.08854
Italy,5.948,2.02518
Ivory Coast,3.655,1.41723
Jamaica,5.709,2.32038
Japan,5.987,1.68435
Jordan,5.192,1.87996
Kazakhstan,5.855,2.24729
Kenya,4.419,1.78555
Kosovo,5.589,2.76579
Kuwait,6.295,1.87634
Kyrgyzstan,5.286,2.2327
Laos,4.876,1.73799
Latvia,5.098,1.62215
Lebanon,4.839,1.57059
Lesotho,4.898,2.79832
Liberia,4.571,2.77729
Libya,5.754,2.09066
Lithuania,5.833,2.44649
Luxembourg,6.946,1.96961
Macedonia,5.007,1.73933
Madagascar,3.681,1.851
Malawi,4.292,2.80791
Malaysia,5.77,1.88541
Mali,3.995,1.79293
Malta,6.302,1.6488
Mauritania,4.436,2.11773
Mauritius,5.477,1.76145
Mexico,7.187,3.60214
Moldova,5.889,3.10712
Mongolia,4.874,1.34759
Montenegro,5.192,2.10017
Morocco,5.013,2.45373
Mozambique,4.971,3.05137
Myanmar,4.307,1.41805
Nepal,4.514,1.95637
Netherlands,7.378,2.4657
New Zealand,7.286,2.26425
Nicaragua,5.828,2.32407
Niger,3.845,1.87877
Nigeria,5.268,2.89319
North Cyprus,5.695,1.59888
Norway,7.522,2.46531
Oman,6.853,2.47489
Pakistan,5.194,3.10709
Palestinian Territories,4.715,2.04384
Panama,6.786,2.84848
Paraguay,5.878,2.18896
Peru,5.824,2.5945
Philippines,5.073,1.7536
Poland,5.791,1.86565
Portugal,5.102,1.26462
Qatar,6.611,1.55674
Romania,5.124,1.93129
Russia,5.716,2.27394
Rwanda,3.465,0.67042
Saudi Arabia,6.411,2.43872
Senegal,3.904,1.44395
Serbia,5.123,2.025
Sierra Leone,4.507,2.51009
Singapore,6.798,1.88501
Slovakia,5.995,2.24639
Slovenia,5.848,1.61583
Somaliland region,5.057,2.11032
South Africa,4.642,1.71956
South Korea,5.984,2.21978
Spain,6.329,2.12367
Sri Lanka,4.271,0.67108
Sudan,4.55,2.20857
Suriname,6.269,2.79094
Swaziland,4.867,2.48676
Sweden,7.364,2.37119
Switzerland,7.587,2.51738
Syria,3.006,0.32858
Taiwan,6.298,2.32323
Tajikistan,4.786,2.11399
Tanzania,3.781,1.38079
Thailand,6.455,2.31945
Togo,2.839,1.56726
Trinidad and Tobago,6.168,2.26882
Tunisia,4.739,2.12466
Turkey,5.332,2.08528
Turkmenistan,5.548,1.86984
Uganda,3.931,1.42766
Ukraine,4.681,1.5714
United Arab Emirates,6.901,2.24743
United Kingdom,6.867,1.96994
United States,7.119,2.51011
Uruguay,6.485,2.32142
Uzbekistan,6.003,2.23741
Venezuela,6.81,3.19131
Vietnam,5.36,2.20173
Yemen,4.077,1.92313
Zambia,5.129,2.6343
Zimbabwe,4.61,2.44191
